,entrez,symbol,gene.name,logFC,logCPM,F,PValue,FDR
ENSMUSG00000045319,227545,Proser2,proline and serine rich 2,0.578410026,3.450195171,9.634028169,0.003314774,0.084089098
ENSMUSG00000051375,75599,Pcdh1,protocadherin 1,0.462385681,4.822793867,9.631741683,0.003318159,0.084089098
ENSMUSG00000028766,11647,Alpl,"alkaline phosphatase, liver/bone/kidney",-0.633660327,3.68466402,9.628595187,0.003322824,0.084089098
ENSMUSG00000057236,19646,Rbbp4,"retinoblastoma binding protein 4, chromatin remodeling factor",0.354776389,6.280288929,9.626852855,0.00332541,0.084089098
ENSMUSG00000030088,107747,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",0.40365657,8.173671135,9.624688428,0.003328626,0.084089098
ENSMUSG00000068011,70291,Mkrn2os,"makorin, ring finger protein 2, opposite strand",-0.579352834,4.822799559,9.624524886,0.003328869,0.084089098
ENSMUSG00000078674,100048884,Mup18,major urinary protein 18,1.269323693,11.63990484,9.843304799,0.003368151,0.084652704
ENSMUSG00000066595,226844,Flvcr1,feline leukemia virus subgroup C cellular receptor 1,-0.903150288,2.051978958,9.595692032,0.003372023,0.084652704
ENSMUSG00000014599,12977,Csf1,colony stimulating factor 1 (macrophage),-1.066251422,3.206260444,9.679082925,0.00337478,0.084652704
ENSMUSG00000025197,226143,Cyp2c23,"cytochrome P450, family 2, subfamily c, polypeptide 23",0.711070615,8.001826784,9.696313262,0.003405451,0.085207187
ENSMUSG00000063954,319192,Hist2h2aa2,"histone cluster 2, H2aa2",0.416685658,6.508253189,9.568854722,0.003412722,0.085207187
ENSMUSG00000021868,105675,Ppif,peptidylprolyl isomerase F (cyclophilin F),-0.600035603,4.79051205,9.557728094,0.003429747,0.08535386
ENSMUSG00000027901,72121,Dennd2d,DENN/MADD domain containing 2D,-0.475247272,3.43779621,9.554658816,0.00343446,0.08535386
ENSMUSG00000022149,12279,C9,complement component 9,0.451065267,8.412501078,9.539925038,0.003457176,0.085720451
ENSMUSG00000027261,15112,Hao1,"hydroxyacid oxidase 1, liver",0.361581204,7.424384463,9.532411584,0.003468822,0.08575989
ENSMUSG00000074170,72287,Plekhf1,"pleckstrin homology domain containing, family F (with FYVE domain) member 1",0.582459875,3.523347627,9.523469829,0.003482735,0.08575989
ENSMUSG00000115388,223650,Eppk1,epiplakin 1,-0.586075163,3.847420631,9.523423085,0.003482808,0.08575989
ENSMUSG00000052392,171282,Acot4,acyl-CoA thioesterase 4,-0.760205513,6.212349515,9.659777902,0.003490645,0.08575989
ENSMUSG00000038658,226089,Ric1,RAB6A GEF complex partner 1,0.50185848,3.561214351,9.471282184,0.003565126,0.087368542
ENSMUSG00000032966,14225,Fkbp1a,FK506 binding protein 1a,-0.535720042,6.309888934,9.470100561,0.003583754,0.087368542
ENSMUSG00000000628,15277,Hk2,hexokinase 2,-1.364386453,2.372646087,9.533774828,0.003585013,0.087368542
ENSMUSG00000042305,57439,Tmem183a,transmembrane protein 183A,0.308836868,6.511038592,9.452615322,0.003595095,0.087368542
ENSMUSG00000028199,12972,Cryz,"crystallin, zeta",-0.382436003,6.435275087,9.446132778,0.003605564,0.087368542
ENSMUSG00000038615,18023,Nfe2l1,"nuclear factor, erythroid derived 2,-like 1",-0.310854151,5.987575625,9.445499659,0.003606589,0.087368542
ENSMUSG00000025810,18186,Nrp1,neuropilin 1,0.425051821,6.459718078,9.432744897,0.003627289,0.087368542
ENSMUSG00000055320,21676,Tead1,TEA domain family member 1,-0.626673014,3.439273154,9.425365605,0.003639322,0.087368542
ENSMUSG00000024298,208292,Zfp871,zinc finger protein 871,0.408020946,6.522754869,9.425200475,0.003639592,0.087368542
ENSMUSG00000074768,12116,Bhmt,betaine-homocysteine methyltransferase,0.407875239,11.4080878,9.423289036,0.003642716,0.087368542
ENSMUSG00000023456,21991,Tpi1,triosephosphate isomerase 1,-0.347247078,6.996302702,9.421629861,0.00364543,0.087368542
ENSMUSG00000024151,17685,Msh2,mutS homolog 2,0.48741749,3.308683688,9.391234658,0.003695532,0.088087382
ENSMUSG00000037025,15376,Foxa2,forkhead box A2,0.561721655,5.759078375,9.408506579,0.003697716,0.088087382
ENSMUSG00000022180,50934,Slc7a8,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",-1.099805062,1.945139464,9.388556705,0.003699981,0.088087382
ENSMUSG00000001506,12842,Col1a1,"collagen, type I, alpha 1",-1.916165146,4.806911322,9.634662672,0.003716614,0.088288054
ENSMUSG00000028307,230163,Aldob,"aldolase B, fructose-bisphosphate",-0.407936929,11.63918959,9.364218651,0.003740676,0.0886639
ENSMUSG00000009035,223693,Tmem184b,transmembrane protein 184b,-0.43920266,3.976214935,9.334894482,0.003790337,0.08964356
ENSMUSG00000016256,64138,Ctsz,cathepsin Z,-0.409440443,6.820240656,9.320732482,0.003814571,0.09001344
ENSMUSG00000073411,14964,H2-D1,"histocompatibility 2, D region locus 1",-0.475390921,7.459441261,9.315999377,0.003822706,0.09001344
ENSMUSG00000044465,74349,Fam160a2,"family with sequence similarity 160, member A2",-0.441025967,3.882203785,9.308071135,0.003836375,0.090138061
ENSMUSG00000040675,270685,Mthfd1l,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,-2.213189765,0.978947406,9.353113099,0.00385097,0.090180398
ENSMUSG00000018974,53890,Sart3,squamous cell carcinoma antigen recognized by T cells 3,0.548965832,3.44148692,9.297352155,0.003854938,0.090180398
ENSMUSG00000036339,218989,Tmem260,transmembrane protein 260,0.428918249,4.228185854,9.287424638,0.003872214,0.090388064
ENSMUSG00000037416,240283,Dmxl1,Dmx-like 1,0.444793452,3.801956445,9.27605285,0.003892105,0.090655722
ENSMUSG00000051730,75422,Mettl5,methyltransferase like 5,0.40780586,3.786778273,9.236060276,0.003962921,0.091805125
ENSMUSG00000026883,69601,Dab2ip,disabled 2 interacting protein,-0.455879963,4.300794141,9.235025427,0.003964772,0.091805125
ENSMUSG00000011831,14020,Evi5,ecotropic viral integration site 5,0.34944071,7.059090715,9.233754248,0.003967046,0.091805125
ENSMUSG00000030591,57296,Psmd8,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",-0.470799294,7.407104422,9.228669289,0.003976158,0.091818522
ENSMUSG00000004843,68942,Chmp2b,charged multivesicular body protein 2B,-0.358123455,5.38190458,9.205317692,0.004018285,0.092592647
ENSMUSG00000024537,107047,Psmg2,"proteasome (prosome, macropain) assembly chaperone 2",-0.451150863,4.017514038,9.193368243,0.004040025,0.09289468
ENSMUSG00000028970,18669,Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",-0.804049291,1.826681908,9.182634313,0.00405966,0.093147122
ENSMUSG00000022763,72168,Aifm3,"apoptosis-inducing factor, mitochondrion-associated 3",0.856149376,1.736827074,9.165559836,0.004091101,0.093668813
ENSMUSG00000026202,22145,Tuba4a,"tubulin, alpha 4A",0.479909108,7.207829741,9.160430704,0.004100597,0.093686879
ENSMUSG00000004451,64143,Ralb,v-ral simian leukemia viral oncogene B,-0.715859752,3.442508352,9.151372455,0.004117423,0.093872001
ENSMUSG00000026240,26895,Cops7b,COP9 signalosome subunit 7B,0.518014958,3.615163668,9.102533497,0.004209411,0.095766325
ENSMUSG00000032050,19684,Rdx,radixin,0.412474537,8.289691224,9.092476481,0.004228622,0.09600043
ENSMUSG00000030095,74122,Tmem43,transmembrane protein 43,-1.008180712,3.747750886,9.195956826,0.004256483,0.09638792
ENSMUSG00000028522,71148,Mier1,MEIR1 treanscription regulator,0.312634411,5.601786487,9.06615482,0.004279343,0.09638792
ENSMUSG00000063232,380780,Serpina11,"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11",0.467596733,5.265250052,9.065298346,0.004281005,0.09638792
ENSMUSG00000034621,237943,Gpatch8,G patch domain containing 8,0.365562828,4.371544912,9.065033247,0.004281519,0.09638792
ENSMUSG00000040761,56381,Spen,spen family transcription repressor,0.403744336,5.316712592,9.046249746,0.004318128,0.097009131
ENSMUSG00000026348,266645,Acmsd,amino carboxymuconate semialdehyde decarboxylase,1.126490139,3.566207223,9.186482334,0.004329628,0.097064858
ENSMUSG00000037306,230815,Man1c1,"mannosidase, alpha, class 1C, member 1",-0.889795168,2.063810268,9.033272718,0.004343613,0.097175934
ENSMUSG00000031600,52348,Vps37a,vacuolar protein sorting 37A,0.343584871,5.879336832,9.023240651,0.004363425,0.097254581
ENSMUSG00000061313,72108,Ddhd2,DDHD domain containing 2,-0.435189942,4.800798364,9.019146496,0.004371537,0.097254581
ENSMUSG00000004035,68312,Gstm7,"glutathione S-transferase, mu 7",0.413241028,5.460591994,9.01778329,0.004374242,0.097254581
ENSMUSG00000029084,12494,Cd38,CD38 antigen,-0.831544583,2.927559371,9.004640468,0.00440041,0.097471643
ENSMUSG00000031886,234673,Ces2e,carboxylesterase 2E,-0.313443644,7.517716938,8.996225297,0.004417252,0.097471643
ENSMUSG00000067144,108114,Slc22a7,"solute carrier family 22 (organic anion transporter), member 7",1.370362661,2.471719259,9.09782361,0.004418785,0.097471643
ENSMUSG00000024454,15183,Hdac3,histone deacetylase 3,-0.513454779,3.061242353,8.994737509,0.004420236,0.097471643
ENSMUSG00000056612,18938,Ppp1r14b,"protein phosphatase 1, regulatory inhibitor subunit 14B",-0.380384132,4.466972816,8.985040412,0.004439742,0.097701569
ENSMUSG00000047797,14618,Gjb1,"gap junction protein, beta 1",0.483454974,8.46709543,8.97715124,0.004455679,0.097852167
ENSMUSG00000043013,15379,Onecut1,"one cut domain, family member 1",1.527379357,3.1781024,9.158990645,0.004476865,0.097931306
ENSMUSG00000039218,75956,Srrm2,serine/arginine repetitive matrix 2,0.313380957,8.232597617,8.966405498,0.004477484,0.097931306
ENSMUSG00000056917,20469,Sipa1,signal-induced proliferation associated gene 1,-0.646555764,3.147072206,8.950044866,0.004510899,0.098462041
ENSMUSG00000021338,68732,Carmil1,capping protein regulator and myosin 1 linker 1,0.845129817,2.594516711,8.932638707,0.00454674,0.099043466
ENSMUSG00000041702,238386,Btbd7,BTB (POZ) domain containing 7,0.459648806,4.204948219,8.928031384,0.004556278,0.099050715
ENSMUSG00000028551,12580,Cdkn2c,cyclin dependent kinase inhibitor 2C,-1.197119374,1.529520746,8.922666635,0.00456741,0.099092531
ENSMUSG00000021431,67797,Snrnp48,small nuclear ribonucleoprotein 48 (U11/U12),0.345885321,5.705781357,8.913680039,0.004586122,0.099298301
ENSMUSG00000029238,12753,Clock,circadian locomotor output cycles kaput,0.469340069,5.034274408,8.906455941,0.004601223,0.099373175
ENSMUSG00000022020,66897,Naa16,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",0.501922089,3.901346212,8.903198627,0.004608049,0.099373175
ENSMUSG00000038776,13849,Ephx1,"epoxide hydrolase 1, microsomal",-0.479414308,7.607818883,8.879907032,0.004657174,0.100145343
ENSMUSG00000047126,67300,Cltc,"clathrin, heavy polypeptide (Hc)",-0.279153331,6.967948803,8.877412489,0.004662468,0.100145343
ENSMUSG00000032624,78798,Eml4,echinoderm microtubule associated protein like 4,0.42414084,3.924491723,8.872318889,0.004673298,0.100178001
ENSMUSG00000027651,70470,Rprd1b,regulation of nuclear pre-mRNA domain containing 1B,0.409182931,4.691990713,8.86267744,0.00469387,0.100291013
ENSMUSG00000035401,233545,Emsy,"EMSY, BRCA2-interacting transcriptional repressor",0.331432055,4.526397444,8.861116624,0.004697209,0.100291013
ENSMUSG00000049658,544971,Bdp1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",0.473807448,4.506883171,8.848750794,0.004723755,0.100658083
ENSMUSG00000026788,71834,Zbtb43,zinc finger and BTB domain containing 43,0.460769938,4.208841919,8.843761159,0.004734512,0.100687907
ENSMUSG00000031703,71927,Itfg1,integrin alpha FG-GAP repeat containing 1,-0.319235512,5.019704412,8.839425967,0.004743878,0.100688116
ENSMUSG00000025402,17937,Nab2,Ngfi-A binding protein 2,0.592006524,3.681472791,8.835052155,0.004753348,0.100690513
ENSMUSG00000034371,225913,Tkfc,"triokinase, FMN cyclase",-0.397461891,7.607119248,8.829272153,0.004765894,0.100757919
ENSMUSG00000050310,78757,Rictor,"RPTOR independent companion of MTOR, complex 2",0.458745807,4.337455319,8.796195258,0.004838364,0.101957965
ENSMUSG00000022540,66049,Rogdi,rogdi homolog,-0.565221181,3.129331673,8.792073594,0.004847476,0.101957965
ENSMUSG00000004934,59004,Pias4,protein inhibitor of activated STAT 4,0.409399588,3.95414956,8.790445325,0.004851081,0.101957965
ENSMUSG00000044139,330657,Prss53,"protease, serine 53",1.068805343,1.718390524,8.772279428,0.00489149,0.102606863
ENSMUSG00000022601,271377,Zbtb11,zinc finger and BTB domain containing 11,0.361571688,4.095184031,8.713890853,0.005023806,0.105035086
ENSMUSG00000033022,12583,Cdo1,"cysteine dioxygenase 1, cytosolic",0.333171115,10.31704932,8.706854463,0.005040006,0.105035086
ENSMUSG00000051652,237387,Lrrc3,leucine rich repeat containing 3,0.394278027,5.185726167,8.704784273,0.005044783,0.105035086
ENSMUSG00000027397,20515,Slc20a1,"solute carrier family 20, member 1",-0.81887379,5.055244002,8.829814469,0.005046291,0.105035086
ENSMUSG00000038894,384783,Irs2,insulin receptor substrate 2,0.519791828,4.302572868,8.662630601,0.005143098,0.10684339
ENSMUSG00000026766,109129,Mmadhc,"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",-0.358261476,6.127681357,8.645641777,0.005183293,0.107470944
ENSMUSG00000026478,226519,Lamc1,"laminin, gamma 1",-0.673359307,2.821901935,8.632939195,0.005213565,0.107890722
ENSMUSG00000006717,66834,Acot13,acyl-CoA thioesterase 13,-0.376435513,7.002232215,8.622815542,0.005237825,0.108022962
ENSMUSG00000021294,668303,Kif26a,kinesin family member 26A,-0.949275397,1.102337401,8.621897106,0.005240032,0.108022962
ENSMUSG00000020604,74008,Arsg,arylsulfatase G,-0.7204985,4.176039857,8.658022936,0.005256458,0.108154381
ENSMUSG00000021149,69237,Gtpbp4,GTP binding protein 4,0.390118367,5.275478714,8.588815224,0.005320183,0.109256658
ENSMUSG00000036941,114615,Elac1,elaC ribonuclease Z 1,0.810593807,2.625830958,8.577459772,0.005347994,0.109459949
ENSMUSG00000033685,22228,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)",-1.066699166,3.996435461,8.725538841,0.005351149,0.109459949
ENSMUSG00000004105,26360,Angptl2,angiopoietin-like 2,-0.859488785,3.04494932,8.577466442,0.00536705,0.109459949
ENSMUSG00000037902,19261,Sirpa,signal-regulatory protein alpha,-0.905033525,4.176026955,8.679781688,0.00537077,0.109459949
ENSMUSG00000020766,14635,Galk1,galactokinase 1,-0.544166705,5.855911272,8.582784331,0.005385517,0.109553028
ENSMUSG00000036885,622434,Arhgef26,Rho guanine nucleotide exchange factor (GEF) 26,0.561663779,4.553051314,8.552737918,0.005409075,0.109824635
ENSMUSG00000023829,20517,Slc22a1,"solute carrier family 22 (organic cation transporter), member 1",-0.313452332,7.696472411,8.529080287,0.00546822,0.110816412
ENSMUSG00000039220,52040,Ppp1r10,"protein phosphatase 1, regulatory subunit 10",0.475865916,4.665167086,8.522206858,0.005485532,0.110958291
ENSMUSG00000000823,269401,Zfp512b,zinc finger protein 512B,0.574275127,3.427698044,8.517493749,0.005497437,0.110990459
ENSMUSG00000045441,243385,Gprin3,GPRIN family member 3,0.485148408,5.706025771,8.510217966,0.005515868,0.111154032
ENSMUSG00000025862,20843,Stag2,stromal antigen 2,0.364936704,5.217236733,8.504768827,0.005529715,0.111224782
ENSMUSG00000021365,18003,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9",-0.940562069,2.422750617,8.489511625,0.005568681,0.111795837
ENSMUSG00000071178,20701,Serpina1b,"serine (or cysteine) preptidase inhibitor, clade A, member 1B",0.464076613,12.65179826,8.485535671,0.005578883,0.111795837
ENSMUSG00000032193,16835,Ldlr,low density lipoprotein receptor,-0.429742145,7.574743602,8.47290614,0.005611422,0.111880353
ENSMUSG00000029661,12843,Col1a2,"collagen, type I, alpha 2",-1.50665716,5.131193625,8.678690807,0.005627072,0.111880353
ENSMUSG00000021036,20773,Sptlc2,"serine palmitoyltransferase, long chain base subunit 2",-0.487723661,3.674561931,8.465433804,0.005630769,0.111880353
ENSMUSG00000048915,13640,Efna5,ephrin A5,0.543691106,2.673061176,8.463467036,0.005635873,0.111880353
ENSMUSG00000040043,56516,Rbms2,"RNA binding motif, single stranded interacting protein 2",-0.827413772,2.230670887,8.463399934,0.005636047,0.111880353
ENSMUSG00000075266,66311,Cenpw,centromere protein W,-0.758696744,2.537311419,8.459769371,0.005645482,0.111880353
ENSMUSG00000045414,68861,Dipk2a,divergent protein kinase domain 2A,-0.507909042,4.986331423,8.453843162,0.005660919,0.111980045
ENSMUSG00000065954,320165,Tacc1,"transforming, acidic coiled-coil containing protein 1",0.296302344,5.781485131,8.442220415,0.005691324,0.112221791
ENSMUSG00000055730,102022,Ces2a,carboxylesterase 2A,0.577284935,6.139013881,8.487659804,0.005701601,0.112221791
ENSMUSG00000034855,15945,Cxcl10,chemokine (C-X-C motif) ligand 10,-1.028125862,3.053773111,8.498895679,0.005705914,0.112221791
ENSMUSG00000031434,75746,Morc4,microrchidia 4,-0.988703948,2.410982199,8.433270746,0.005714854,0.112221791
ENSMUSG00000045576,229681,St7l,suppression of tumorigenicity 7-like,0.446570671,3.659095778,8.4272554,0.005730727,0.112328516
ENSMUSG00000042328,192232,Hps4,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2",0.549429858,3.629864429,8.419558734,0.005751106,0.112522993
ENSMUSG00000026043,12825,Col3a1,"collagen, type III, alpha 1",-1.560556791,5.724332206,8.61709765,0.005781889,0.112919975
ENSMUSG00000026398,26424,Nr5a2,"nuclear receptor subfamily 5, group A, member 2",0.390527642,6.169460943,8.397294885,0.005810487,0.11327292
ENSMUSG00000020482,104479,Ccdc117,coiled-coil domain containing 117,0.462071898,3.511302685,8.379253808,0.005859083,0.114013728
ENSMUSG00000030789,16411,Itgax,integrin alpha X,-1.901987876,1.254569266,8.404058838,0.005881579,0.114244892
ENSMUSG00000021591,93692,Glrx,glutaredoxin,-0.410984853,4.841014987,8.360564903,0.005909879,0.114587757
ENSMUSG00000037706,12520,Cd81,CD81 antigen,-0.322370021,8.348978706,8.356017406,0.005922309,0.114622248
ENSMUSG00000024241,20662,Sos1,SOS Ras/Rac guanine nucleotide exchange factor 1,0.386205203,4.715764174,8.336659635,0.005975535,0.115402243
ENSMUSG00000021906,218885,Oxnad1,oxidoreductase NAD-binding domain containing 1,-0.41179085,4.419081066,8.333576581,0.005984058,0.115402243
ENSMUSG00000045136,73710,Tubb2b,"tubulin, beta 2B class IIB",-1.82977742,2.558849206,8.490586819,0.00600731,0.115549014
ENSMUSG00000069044,107868,Usp9y,"ubiquitin specific peptidase 9, Y chromosome",-0.807701911,3.159659348,8.328253264,0.006013144,0.115549014
ENSMUSG00000079419,73656,Ms4a6c,"membrane-spanning 4-domains, subfamily A, member 6C",-0.933636503,2.888098894,8.330599458,0.006041712,0.115772281
ENSMUSG00000025089,14585,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,0.394661018,6.157484132,8.311211103,0.00604628,0.115772281
ENSMUSG00000020863,67684,Luc7l3,LUC7-like 3 (S. cerevisiae),0.335004591,6.653405818,8.296590449,0.006087327,0.116351192
ENSMUSG00000032253,83946,Phip,pleckstrin homology domain interacting protein,0.324335844,4.759027321,8.271380189,0.006158798,0.11726655
ENSMUSG00000025289,53381,Prdx4,peroxiredoxin 4,0.319065151,6.322029107,8.264706012,0.006177869,0.11726655
ENSMUSG00000032312,12988,Csk,c-src tyrosine kinase,0.444521722,5.501464507,8.263569993,0.006181121,0.11726655
ENSMUSG00000026098,227099,Pms1,"PMS1 homolog 1, mismatch repair system component",0.910368803,2.069125933,8.262229962,0.006184959,0.11726655
ENSMUSG00000041654,69806,Slc39a11,"solute carrier family 39 (metal ion transporter), member 11",-0.456004893,4.800400128,8.260575031,0.006189704,0.11726655
ENSMUSG00000026031,12633,Cflar,CASP8 and FADD-like apoptosis regulator,0.289467456,5.751783311,8.234170973,0.00626592,0.118501867
ENSMUSG00000028648,595136,Ndufs5,NADH:ubiquinone oxidoreductase core subunit S5,-0.284184498,6.548285504,8.227023096,0.006286723,0.118556622
ENSMUSG00000031645,109821,F11,coagulation factor XI,0.738892031,4.451949313,8.29613994,0.006290849,0.118556622
ENSMUSG00000022098,12153,Bmp1,bone morphogenetic protein 1,0.453019906,5.483490447,8.216445631,0.006317643,0.118653177
ENSMUSG00000024483,108857,Ankhd1,ankyrin repeat and KH domain containing 1,0.330020456,6.182362055,8.216315146,0.006318025,0.118653177
ENSMUSG00000038872,11906,Zfhx3,zinc finger homeobox 3,0.322419444,5.412411591,8.208793501,0.006340112,0.118773658
ENSMUSG00000035248,214290,Tut7,terminal uridylyl transferase 7,0.324475437,6.235736426,8.206617945,0.006346516,0.118773658
ENSMUSG00000032231,12306,Anxa2,annexin A2,-1.369638787,5.456798078,8.399150868,0.006367404,0.118957695
ENSMUSG00000028059,16800,Arhgef2,rho/rac guanine nucleotide exchange factor (GEF) 2,-0.871107952,2.719173103,8.190747381,0.006393438,0.119051717
ENSMUSG00000022385,29870,Gtse1,G two S phase expressed protein 1,-1.978919436,0.669802119,8.205216659,0.006394563,0.119051717
ENSMUSG00000024677,69774,Ms4a6b,"membrane-spanning 4-domains, subfamily A, member 6B",-1.336208964,1.837736779,8.1809907,0.006446288,0.119807426
ENSMUSG00000079293,56644,Clec7a,"C-type lectin domain family 7, member a",-1.228856684,3.910760803,8.328341153,0.006466496,0.119891516
ENSMUSG00000056608,109151,Chd9,chromodomain helicase DNA binding protein 9,0.350839379,5.408251136,8.164085911,0.006473095,0.119891516
ENSMUSG00000038866,227449,Zcchc2,"zinc finger, CCHC domain containing 2",0.584744182,4.192000965,8.159029658,0.00648832,0.119967025
ENSMUSG00000058317,218793,Ube2e2,ubiquitin-conjugating enzyme E2E 2,-0.536140658,3.774555465,8.149327097,0.006517642,0.120294674
ENSMUSG00000041261,12319,Car8,carbonic anhydrase 8,0.456112181,5.900952585,8.142153522,0.006539412,0.120294674
ENSMUSG00000022965,15980,Ifngr2,interferon gamma receptor 2,-0.523880498,3.707341848,8.142003143,0.006539869,0.120294674
ENSMUSG00000019188,14950,H13,histocompatibility 13,0.277044329,6.312286224,8.138425794,0.006550755,0.120294674
ENSMUSG00000069456,19683,Rdh16,retinol dehydrogenase 16,-0.509609395,7.003626491,8.139108222,0.00660851,0.121148505
ENSMUSG00000038990,252966,Cables2,CDK5 and Abl enzyme substrate 2,0.507023967,4.057255732,8.105197491,0.006652795,0.121521541
ENSMUSG00000006529,16424,Itih1,"inter-alpha trypsin inhibitor, heavy chain 1",0.555352097,7.461418707,8.150098337,0.006655629,0.121521541
ENSMUSG00000060519,30935,Tor3a,"torsin family 3, member A",-0.654490084,3.40180842,8.101988882,0.006662737,0.121521541
ENSMUSG00000031402,17524,Mpp1,"membrane protein, palmitoylated",-0.423247751,4.850971982,8.093478213,0.006689184,0.12179748
ENSMUSG00000037608,72567,Bclaf1,BCL2-associated transcription factor 1,0.35846822,6.276895224,8.061144767,0.006790683,0.12343673
ENSMUSG00000054814,69727,Usp46,ubiquitin specific peptidase 46,0.553520668,3.190811047,8.056882033,0.006804186,0.123473606
ENSMUSG00000026270,23830,Capn10,calpain 10,-0.46211539,3.593631794,8.046374564,0.006837592,0.123788613
ENSMUSG00000035439,76478,Haus8,"4HAUS augmin-like complex, subunit 8",-1.130886063,3.328918301,8.154165128,0.006844552,0.123788613
ENSMUSG00000025153,14104,Fasn,fatty acid synthase,-0.809145501,8.134250667,8.174862941,0.00687594,0.12414763
ENSMUSG00000010663,76267,Fads1,fatty acid desaturase 1,-0.413596901,9.048455236,8.028562025,0.006894622,0.124276419
ENSMUSG00000030016,18139,Zfp638,zinc finger protein 638,0.29636849,5.094303161,8.020886648,0.006919351,0.124513603
ENSMUSG00000026389,68428,Steap3,STEAP family member 3,0.523207453,3.107888904,8.011419792,0.006949982,0.12485602
ENSMUSG00000043991,19290,Pura,purine rich element binding protein A,0.260735084,7.239606432,8.000412716,0.006985778,0.125289926
ENSMUSG00000008305,21885,Tle1,transducin-like enhancer of split 1,0.486154576,5.121445002,7.99326077,0.007009141,0.125499786
ENSMUSG00000021340,14756,Gpld1,glycosylphosphatidylinositol specific phospholipase D1,0.487659361,6.608166321,7.996424999,0.007029146,0.125648905
ENSMUSG00000005054,13014,Cstb,cystatin B,-0.766237865,5.908125633,8.10497689,0.007051861,0.125845898
ENSMUSG00000045316,68636,Fahd1,fumarylacetoacetate hydrolase domain containing 1,0.424221751,5.872769144,7.972153993,0.007078577,0.126113527
ENSMUSG00000022472,28075,Desi1,desumoylating isopeptidase 1,0.381471403,5.27644008,7.953333906,0.007141107,0.127017276
ENSMUSG00000067925,66158,Rtl8a,retrotransposon Gag like 8A,-0.484640355,4.653384082,7.940427295,0.007184328,0.127575174
ENSMUSG00000036023,11546,Parp2,"poly (ADP-ribose) polymerase family, member 2",-0.703647402,2.934273211,7.924766347,0.007237147,0.128301374
ENSMUSG00000090213,407243,Tmem189,transmembrane protein 189,-0.530680865,4.422665355,7.887992874,0.007362798,0.13031426
ENSMUSG00000027782,16649,Kpna4,karyopherin (importin) alpha 4,0.353289193,5.145931246,7.884033519,0.007376464,0.130341762
ENSMUSG00000031007,70495,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2",-0.300301713,5.331037582,7.876226966,0.007403489,0.130404355
ENSMUSG00000030364,94071,Clec2h,"C-type lectin domain family 2, member h",1.114258175,3.204196742,7.975593882,0.007409765,0.130404355
ENSMUSG00000075590,223649,Nrbp2,nuclear receptor binding protein 2,0.408874276,4.421170959,7.872519164,0.007416361,0.130404355
ENSMUSG00000058761,108937,Rnf169,ring finger protein 169,0.388281158,5.66662921,7.867858242,0.007432577,0.130476274
ENSMUSG00000024425,65113,Ndfip1,Nedd4 family interacting protein 1,0.271006229,7.572579632,7.863616537,0.007447366,0.130522973
ENSMUSG00000028251,77032,Tstd3,thiosulfate sulfurtransferase (rhodanese)-like domain containing 3,-0.375857743,4.451605896,7.85994317,0.007460199,0.130535289
ENSMUSG00000019889,19272,Ptprk,"protein tyrosine phosphatase, receptor type, K",0.332368519,5.574361904,7.839842999,0.007530838,0.131557376
ENSMUSG00000046070,16005,Igfals,"insulin-like growth factor binding protein, acid labile subunit",0.665669467,6.309255774,7.925189621,0.007553595,0.131741059
ENSMUSG00000030287,16439,Itpr2,"inositol 1,4,5-triphosphate receptor 2",0.287695724,6.073275101,7.827060293,0.00757613,0.131920278
ENSMUSG00000024029,21786,Tff3,"trefoil factor 3, intestinal",1.957597358,1.899686419,7.899924514,0.007609194,0.132281961
ENSMUSG00000059890,140630,Ube4a,ubiquitination factor E4A,0.558750651,3.17662298,7.804775079,0.007655785,0.132877265
ENSMUSG00000040181,14261,Fmo1,flavin containing monooxygenase 1,-0.402606985,6.218562435,7.782217437,0.007737322,0.134061127
ENSMUSG00000034329,237911,Brip1,BRCA1 interacting protein C-terminal helicase 1,0.814099706,2.074882304,7.776571676,0.007757873,0.134061127
ENSMUSG00000023805,20975,Synj2,synaptojanin 2,-0.738410922,2.389691479,7.77553915,0.007761638,0.134061127
ENSMUSG00000032135,84004,Mcam,melanoma cell adhesion molecule,-1.08683062,1.783108207,7.772199979,0.007773826,0.134061127
ENSMUSG00000027792,12038,Bche,butyrylcholinesterase,-0.312364697,6.111266084,7.768204545,0.007788437,0.134098192
ENSMUSG00000061393,11481,Acvr2b,activin receptor IIB,0.64556914,2.854873246,7.764047737,0.007803669,0.134145814
