"","gene.id","entrez","symbol","gene.name","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000031402","ENSMUSG00000031402","17524","Mpp1","membrane protein, palmitoylated",-0.651370035268235,4.85236792908994,12.1611408331504,0.00106364727407705,0.0296239775338629
"ENSMUSG00000031799","ENSMUSG00000031799","326618","Tpm4","tropomyosin 4",-0.878816495143587,4.93310893203384,12.2995352781085,0.00106479424446397,0.0296239775338629
"ENSMUSG00000020803","ENSMUSG00000020803","52700","Txndc17","thioredoxin domain containing 17",-0.485982950022324,5.81525703754638,12.1471672161758,0.00106999490154478,0.0296239775338629
"ENSMUSG00000025630","ENSMUSG00000025630","15452","Hprt","hypoxanthine guanine phosphoribosyl transferase",-0.606862591776351,5.31058274550928,12.1469571761178,0.00107009061703954,0.0296239775338629
"ENSMUSG00000038991","ENSMUSG00000038991","105245","Txndc5","thioredoxin domain containing 5",-0.524220285353668,5.32140150071765,12.1257975403029,0.00107977935004058,0.0298079933250639
"ENSMUSG00000034220","ENSMUSG00000034220","14733","Gpc1","glypican 1",-0.752966628447171,5.06037931961252,12.1514727647829,0.00108333316549403,0.0298220927579817
"ENSMUSG00000032026","ENSMUSG00000032026","104444","Rexo2","RNA exonuclease 2",-0.410921195061966,6.9407416323531,12.1111954610475,0.00108651918892845,0.0298260169509772
"ENSMUSG00000034634","ENSMUSG00000034634","17068","Ly6d","lymphocyte antigen 6 complex, locus D",-3.17437939113268,5.29948331809218,12.6389140198506,0.0010941574066471,0.0299124686873023
"ENSMUSG00000026849","ENSMUSG00000026849","30931","Tor1a","torsin family 1, member A (torsin A)",-0.697435438514489,5.0438871148216,12.0890483229857,0.00109682608468747,0.0299124686873023
"ENSMUSG00000022994","ENSMUSG00000022994","11512","Adcy6","adenylate cyclase 6",-0.752913304673609,3.78030036926491,12.0688042374052,0.00110633723754588,0.0299124686873023
"ENSMUSG00000029810","ENSMUSG00000029810","65963","Tmem176b","transmembrane protein 176B",-0.715950086390482,7.88030390867397,12.2294964139807,0.00111398453133107,0.0299124686873023
"ENSMUSG00000021809","ENSMUSG00000021809","67725","Nudt13","nudix (nucleoside diphosphate linked moiety X)-type motif 13",-0.648364043201861,3.96170463770526,12.0524062654299,0.00111410492606785,0.0299124686873023
"ENSMUSG00000022477","ENSMUSG00000022477","11429","Aco2","aconitase 2, mitochondrial",-0.465869630741289,7.23578815430155,12.0522017910074,0.00111420214624562,0.0299124686873023
"ENSMUSG00000013539","ENSMUSG00000013539","27883","Tango2","transport and golgi organization 2",-0.398410887551012,5.6606111607526,12.0492688076312,0.00111559765518448,0.0299124686873023
"ENSMUSG00000037894","ENSMUSG00000037894","51788","H2afz","H2A histone family, member Z",-0.639498950499123,6.78794657173153,12.0897843930513,0.00112068489441036,0.0299124686873023
"ENSMUSG00000022540","ENSMUSG00000022540","66049","Rogdi","rogdi homolog",-0.821631494072164,3.15470105589198,12.0363753659013,0.00112175415745968,0.0299124686873023
"ENSMUSG00000024507","ENSMUSG00000024507","15488","Hsd17b4","hydroxysteroid (17-beta) dehydrogenase 4",-0.583768908559594,7.87242992658857,12.0389107929339,0.00112190327567248,0.0299124686873023
"ENSMUSG00000014599","ENSMUSG00000014599","12977","Csf1","colony stimulating factor 1 (macrophage)",-1.39024676536162,3.30070495772211,12.2454149645933,0.00112479176527575,0.0299124686873023
"ENSMUSG00000026478","ENSMUSG00000026478","226519","Lamc1","laminin, gamma 1",-0.995580241799824,2.90918291894853,12.0260424895512,0.00112671378464413,0.0299124686873023
"ENSMUSG00000031007","ENSMUSG00000031007","70495","Atp6ap2","ATPase, H+ transporting, lysosomal accessory protein 2",-0.5317763716798,5.37716365078449,12.020573153737,0.00112934830758182,0.0299124686873023
"ENSMUSG00000032261","ENSMUSG00000032261","212531","Sh3bgrl2","SH3 domain binding glutamic acid-rich protein like 2",-0.571249261646705,5.14923759636734,12.0065799446727,0.00113611820858493,0.030010669660734
"ENSMUSG00000029064","ENSMUSG00000029064","14688","Gnb1","guanine nucleotide binding protein (G protein), beta 1",-0.539983984141089,5.65982270117457,11.9823583777082,0.00114793758771177,0.0301562880483983
"ENSMUSG00000039323","ENSMUSG00000039323","16008","Igfbp2","insulin-like growth factor binding protein 2",1.00097397188897,6.54838548963524,12.3914194713601,0.00114927680597186,0.0301562880483983
"ENSMUSG00000015217","ENSMUSG00000015217","15354","Hmgb3","high mobility group box 3",-0.820014300064887,4.65314345575462,12.0283493973006,0.00115344996169317,0.0301562880483983
"ENSMUSG00000042429","ENSMUSG00000042429","11539","Adora1","adenosine A1 receptor",-0.593442650526795,5.76209507097913,11.9621551430101,0.00115789499159177,0.0301562880483983
"ENSMUSG00000022180","ENSMUSG00000022180","50934","Slc7a8","solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",-1.33190501624495,2.06120411814533,11.9572252934723,0.00116033847853345,0.0301562880483983
"ENSMUSG00000030894","ENSMUSG00000030894","12751","Tpp1","tripeptidyl peptidase I",-0.499055233867642,7.09393718267183,11.9525283750725,0.00116267155505553,0.0301562880483983
"ENSMUSG00000030681","ENSMUSG00000030681","78388","Mvp","major vault protein",-0.78813734330548,4.11176711525046,11.9515239646069,0.00116317111043822,0.0301562880483983
"ENSMUSG00000004843","ENSMUSG00000004843","68942","Chmp2b","charged multivesicular body protein 2B",-0.550131002964583,5.41739187510629,11.9236191375375,0.00117714049375738,0.0304214720014059
"ENSMUSG00000062683","ENSMUSG00000062683","67942","Atp5g2","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)",-0.413457549526771,7.96819382419408,11.9180513107432,0.00117994883546419,0.0304214720014059
"ENSMUSG00000069922","ENSMUSG00000069922","382053","Ces3a","carboxylesterase 3A",0.421703939198057,10.3273206929391,11.9125859794439,0.00118271232985057,0.0304214720014059
"ENSMUSG00000027035","ENSMUSG00000027035","241447","Cers6","ceramide synthase 6",-0.855277921149681,3.26842265274311,11.9061003944502,0.00118600053552189,0.030426191748991
"ENSMUSG00000002944","ENSMUSG00000002944","12491","Cd36","CD36 molecule",-0.921756886500935,6.47678897102892,12.2475235883898,0.00119112313420144,0.0304402123972258
"ENSMUSG00000023094","ENSMUSG00000023094","76467","Msrb2","methionine sulfoxide reductase B2",-0.692771933029648,4.25377158262711,11.8893506721449,0.00119453721636203,0.0304402123972258
"ENSMUSG00000035960","ENSMUSG00000035960","11792","Apex1","apurinic/apyrimidinic endonuclease 1",-0.692691086829127,4.16583067341191,11.8867558041536,0.00119586548703387,0.0304402123972258
"ENSMUSG00000032366","ENSMUSG00000032366","22003","Tpm1","tropomyosin 1, alpha",-0.888924933984035,5.21845098517913,12.0474094818342,0.00121120463603294,0.0307129243572849
"ENSMUSG00000058317","ENSMUSG00000058317","218793","Ube2e2","ubiquitin-conjugating enzyme E2E 2",-0.818486521728374,3.79712439826056,11.8538454836726,0.00121284711492543,0.0307129243572849
"ENSMUSG00000026883","ENSMUSG00000026883","69601","Dab2ip","disabled 2 interacting protein",-0.655830628018009,4.34469502115788,11.8249838962383,0.00122794826417556,0.0310151881157745
"ENSMUSG00000029153","ENSMUSG00000029153","433904","Ociad2","OCIA domain containing 2",-0.420170501039694,6.07420422220927,11.810690731224,0.00123549988957718,0.0311257041590137
"ENSMUSG00000028527","ENSMUSG00000028527","11639","Ak4","adenylate kinase 4",-0.536764287351234,5.61751404028128,11.7785633998675,0.00125265275323429,0.0314769153376822
"ENSMUSG00000026150","ENSMUSG00000026150","75734","Mff","mitochondrial fission factor",-0.513946924071489,4.71479014811068,11.7718961885199,0.00125624365950617,0.0314864139722775
"ENSMUSG00000004038","ENSMUSG00000004038","14864","Gstm3","glutathione S-transferase, mu 3",-2.25182438304943,5.92777553788138,12.2558551728932,0.0012729427432402,0.0318235685810051
"ENSMUSG00000060470","ENSMUSG00000060470","54672","Adgrg3","adhesion G protein-coupled receptor G3",-0.935938868030358,2.52440310798299,11.7257554890934,0.00128139318604262,0.0319048936371065
"ENSMUSG00000030591","ENSMUSG00000030591","57296","Psmd8","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",-0.660797182953604,7.46852248106477,11.8304125893927,0.00128270694826734,0.0319048936371065
"ENSMUSG00000049502","ENSMUSG00000049502","209200","Dtx3l","deltex 3-like, E3 ubiquitin ligase",-0.404993248128933,5.52599722019844,11.7036992385234,0.00129360168408785,0.0320910404127611
"ENSMUSG00000029581","ENSMUSG00000029581","14086","Fscn1","fascin actin-bundling protein 1",-1.23005841362789,3.0194926905011,11.7415766491505,0.00129674000035239,0.0320910404127611
"ENSMUSG00000017929","ENSMUSG00000017929","56336","B4galt5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",-0.890836045767565,4.18802826294718,11.7210202582049,0.00131222584408504,0.0323924767557517
"ENSMUSG00000040661","ENSMUSG00000040661","81000","Rad54l2","RAD54 like 2 (S. cerevisiae)",-0.568626956690207,4.72260504918819,11.6304063328648,0.00133505658365498,0.0328732525623587
"ENSMUSG00000096688","ENSMUSG00000096688","100039206","Mup17","major urinary protein 17",1.5283477052751,11.0685163450953,12.0973933764245,0.00135028111261165,0.0330534883729891
"ENSMUSG00000115388","ENSMUSG00000115388","223650","Eppk1","epiplakin 1",-0.718113083809308,3.89641147085399,11.5971840557551,0.00135430522340205,0.0330534883729891
"ENSMUSG00000045538","ENSMUSG00000045538","71986","Ddx28","DEAD (Asp-Glu-Ala-Asp) box polypeptide 28",-0.625667463449204,3.79788974821774,11.5901128188069,0.00135843976428195,0.0330534883729891
"ENSMUSG00000038375","ENSMUSG00000038375","68728","Trp53inp2","transformation related protein 53 inducible nuclear protein 2",-0.546714210388843,6.29468776814995,11.589751737261,0.00135865124395669,0.0330534883729891
"ENSMUSG00000078675","ENSMUSG00000078675","100039177","Mup16","major urinary protein 16",1.1846349734304,11.7302283069471,12.0314422938013,0.00136471399347513,0.0330534883729891
"ENSMUSG00000006398","ENSMUSG00000006398","107995","Cdc20","cell division cycle 20",-2.12840850113302,1.89775800835575,11.6953627048005,0.00136532034170213,0.0330534883729891
"ENSMUSG00000022139","ENSMUSG00000022139","105559","Mbnl2","muscleblind like splicing factor 2",-0.546697012851878,6.33345925082527,11.5772647761272,0.00136598599908781,0.0330534883729891
"ENSMUSG00000035385","ENSMUSG00000035385","20296","Ccl2","chemokine (C-C motif) ligand 2",-1.86078503137575,1.76076857757344,11.569337540834,0.00137066400155813,0.0330687367020101
"ENSMUSG00000035530","ENSMUSG00000035530","20918","Eif1","eukaryotic translation initiation factor 1",-0.341871465930354,9.47956670266109,11.5570090922466,0.00137797274214239,0.0330687367020101
"ENSMUSG00000032562","ENSMUSG00000032562","14678","Gnai2","guanine nucleotide binding protein (G protein), alpha inhibiting 2",-0.541599603718345,7.46887341294716,11.5544480180032,0.00137949617232798,0.0330687367020101
"ENSMUSG00000018459","ENSMUSG00000018459","114644","Slc13a3","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3",-1.13707941857709,4.25572866648209,11.8232627001821,0.00138011360317573,0.0330687367020101
"ENSMUSG00000034203","ENSMUSG00000034203","72170","Chchd4","coiled-coil-helix-coiled-coil-helix domain containing 4",-0.680802004201822,4.30540887457078,11.5339605698721,0.00139174687515251,0.0332661448207186
"ENSMUSG00000038500","ENSMUSG00000038500","75210","Prr3","proline-rich polypeptide 3",-1.07884276279973,2.05321096768522,11.4943224015598,0.00141577493704949,0.0337581371851218
"ENSMUSG00000060613","ENSMUSG00000060613","226105","Cyp2c70","cytochrome P450, family 2, subfamily c, polypeptide 70",0.673617776670175,7.21723556156919,11.5632173590479,0.00144971662715484,0.0344835508400908
"ENSMUSG00000028063","ENSMUSG00000028063","16905","Lmna","lamin A",-0.603775123326652,5.11525452848592,11.3904578537282,0.0014808288115286,0.035135600110458
"ENSMUSG00000032806","ENSMUSG00000032806","214601","Slc10a3","solute carrier family 10 (sodium/bile acid cotransporter family), member 3",-0.990748737983337,2.65298343383501,11.3850516397944,0.00148429984140098,0.035135600110458
"ENSMUSG00000045414","ENSMUSG00000045414","68861","Dipk2a","divergent protein kinase domain 2A",-0.681952378057507,5.02345383118881,11.3530755187671,0.00150500570731689,0.0354604962656579
"ENSMUSG00000107283","ENSMUSG00000107283","17527","Mpv17","MpV17 mitochondrial inner membrane protein",-0.777163096885246,3.79855435307748,11.3526828112013,0.00150526188229731,0.0354604962656579
"ENSMUSG00000011179","ENSMUSG00000011179","18263","Odc1","ornithine decarboxylase, structural 1",-0.487027196300071,5.34687439573552,11.3447232211864,0.00151046406144554,0.0354977165519575
"ENSMUSG00000043421","ENSMUSG00000043421","69573","Hilpda","hypoxia inducible lipid droplet associated",-0.913906518641493,3.08365361566428,11.3385251126491,0.00151452807869738,0.035508074572331
"ENSMUSG00000032966","ENSMUSG00000032966","14225","Fkbp1a","FK506 binding protein 1a",-0.773556700765281,6.39528159089578,11.5282619083076,0.00151822493235079,0.0355097955537894
"ENSMUSG00000034855","ENSMUSG00000034855","15945","Cxcl10","chemokine (C-X-C motif) ligand 10",-1.15505829780439,3.0582781912172,11.334598245531,0.00152892514967026,0.0356270706898572
"ENSMUSG00000022365","ENSMUSG00000022365","67819","Derl1","Der1-like domain family, member 1",-0.357755039307421,6.78904407244163,11.3102404221761,0.00153322052780021,0.0356270706898572
"ENSMUSG00000025512","ENSMUSG00000025512","68038","Chid1","chitinase domain containing 1",-0.571958281663082,3.93697322740392,11.3078908454234,0.00153478416737841,0.0356270706898572
"ENSMUSG00000001313","ENSMUSG00000001313","11858","Rnd2","Rho family GTPase 2",-0.768320982196341,3.67638562657546,11.3033951783723,0.00153778070426629,0.0356270706898572
"ENSMUSG00000038717","ENSMUSG00000038717","27425","Atp5l","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G",-0.363868282547718,8.78797599334053,11.2855874199667,0.0015497108770938,0.0358187891403756
"ENSMUSG00000037306","ENSMUSG00000037306","230815","Man1c1","mannosidase, alpha, class 1C, member 1",-1.24018559861756,2.16163909767294,11.2721409582451,0.00155878373290904,0.0359437190176674
"ENSMUSG00000020444","ENSMUSG00000020444","14923","Guk1","guanylate kinase 1",-0.541224441616688,5.32051207942755,11.2593981925134,0.00156743335901522,0.0360583260994111
"ENSMUSG00000002804","ENSMUSG00000002804","66174","Nudt14","nudix (nucleoside diphosphate linked moiety X)-type motif 14",-0.625498598253773,3.82842548077725,11.2303207781092,0.0015873603624263,0.0364143573122064
"ENSMUSG00000003559","ENSMUSG00000003559","57344","As3mt","arsenic (+3 oxidation state) methyltransferase",-0.738554700793648,4.53738159550974,11.2260040216321,0.00159034131934942,0.0364143573122064
"ENSMUSG00000025825","ENSMUSG00000025825","66383","Iscu","iron-sulfur cluster assembly enzyme",-0.623584205234262,6.38672748366286,11.1930528238336,0.00163689794777719,0.0373930067324393
"ENSMUSG00000026489","ENSMUSG00000026489","67426","Coq8a","coenzyme Q8A",0.463772369751155,6.65051344095275,11.1380172121506,0.00165240206659237,0.0376593959362913
"ENSMUSG00000024537","ENSMUSG00000024537","107047","Psmg2","proteasome (prosome, macropain) assembly chaperone 2",-0.61780283018917,4.10331057545234,11.1314654181545,0.00165712413233566,0.0376793886238735
"ENSMUSG00000028973","ENSMUSG00000028973","74610","Abcb8","ATP-binding cassette, sub-family B (MDR/TAP), member 8",-0.699284810629852,3.57184301988701,11.1146969539228,0.00166927443781538,0.0378677997467377
"ENSMUSG00000029106","ENSMUSG00000029106","11518","Add1","adducin 1 (alpha)",-0.588776670132427,4.93163644837718,11.1076573058514,0.0016744032207919,0.0378964239347821
"ENSMUSG00000019960","ENSMUSG00000019960","67603","Dusp6","dual specificity phosphatase 6",-0.762280501539406,5.55399748607157,11.2001892277488,0.00169356127475692,0.0382417062041885
"ENSMUSG00000033083","ENSMUSG00000033083","210789","Tbc1d4","TBC1 domain family, member 4",-1.0937807118752,2.73951330850469,11.0670960857911,0.0017042791963254,0.0383952554574458
"ENSMUSG00000005447","ENSMUSG00000005447","18476","Pafah1b3","platelet-activating factor acetylhydrolase, isoform 1b, subunit 3",-1.09225188264319,2.51948930617033,11.0399594192809,0.00172457993077823,0.0387634938569418
"ENSMUSG00000004394","ENSMUSG00000004394","103694","Tmed4","transmembrane p24 trafficking protein 4",-0.516641679934688,5.67384977114385,11.0126906817518,0.00174523597825706,0.0389868346682552
"ENSMUSG00000004631","ENSMUSG00000004631","20392","Sgce","sarcoglycan, epsilon",-1.48320690118753,2.2489385824347,11.0081196043589,0.00174872397065394,0.0389868346682552
"ENSMUSG00000024292","ENSMUSG00000024292","64385","Cyp4f14","cytochrome P450, family 4, subfamily f, polypeptide 14",0.651591965457887,7.08184954262269,11.1100599249763,0.0017488503442798,0.0389868346682552
"ENSMUSG00000026003","ENSMUSG00000026003","11363","Acadl","acyl-Coenzyme A dehydrogenase, long-chain",-0.328584223463119,7.50456770253269,11.0058882154029,0.00175042931163595,0.0389868346682552
"ENSMUSG00000003363","ENSMUSG00000003363","18807","Pld3","phospholipase D family, member 3",-0.741512752391911,4.09310263002883,10.9717905804107,0.00177670731637901,0.0393460689500149
"ENSMUSG00000024816","ENSMUSG00000024816","67457","Frmd8","FERM domain containing 8",-0.760905510041995,4.18728579304669,10.9714818274079,0.00177694715087665,0.0393460689500149
"ENSMUSG00000006736","ENSMUSG00000006736","67125","Tspan31","tetraspanin 31",-0.542569320576497,6.64767753965876,10.9693514640397,0.00177860291274047,0.0393460689500149
"ENSMUSG00000023805","ENSMUSG00000023805","20975","Synj2","synaptojanin 2",-1.03558662255096,2.53408560014315,10.9492095157581,0.00179433813971783,0.0396047607415197
"ENSMUSG00000040813","ENSMUSG00000040813","21767","Tex264","testis expressed gene 264",-0.391640814106025,5.92289964500372,10.9413269718068,0.00180053594556207,0.0396077009804264
"ENSMUSG00000030342","ENSMUSG00000030342","12527","Cd9","CD9 antigen",-1.59347857620207,3.47436747095766,11.2571411573253,0.00180589391096567,0.0396077009804264
"ENSMUSG00000066366","ENSMUSG00000066366","20700","Serpina1a","serine (or cysteine) peptidase inhibitor, clade A, member 1A",0.620948751822606,11.9747087740164,10.9623448599126,0.00180659615696435,0.0396077009804264
"ENSMUSG00000040043","ENSMUSG00000040043","56516","Rbms2","RNA binding motif, single stranded interacting protein 2",-1.04088933492273,2.38773597602032,10.8984001446055,0.00183468581768677,0.0401337522618982
"ENSMUSG00000045038","ENSMUSG00000045038","18754","Prkce","protein kinase C, epsilon",-0.51715423102824,4.92993317970465,10.8875646777546,0.00184341314451546,0.0401688533943379
"ENSMUSG00000029119","ENSMUSG00000029119","17160","Man2b2","mannosidase 2, alpha B2",-1.05170546147279,2.36286899149137,10.8829814531873,0.00184711780191727,0.0401688533943379
"ENSMUSG00000038521","ENSMUSG00000038521","50908","C1s1","complement component 1, s subcomponent 1",-0.53429470331886,8.05874145426709,10.8781916973059,0.00185099777623864,0.0401688533943379
"ENSMUSG00000058216","ENSMUSG00000058216","225884","Gstp3","glutathione S-transferase pi 3",-0.885951655214715,3.15980587320072,10.8761110493292,0.00185268589124905,0.0401688533943379
"ENSMUSG00000045854","ENSMUSG00000045854","108755","Lyrm2","LYR motif containing 2",-0.626408341950075,3.8359779863679,10.8592101108216,0.0018664585114586,0.0403180782981836
"ENSMUSG00000062949","ENSMUSG00000062949","320940","Atp11c","ATPase, class VI, type 11C",0.414694999427981,6.73697207919957,10.8527796387002,0.00187172698847616,0.0403180782981836
"ENSMUSG00000038776","ENSMUSG00000038776","13849","Ephx1","epoxide hydrolase 1, microsomal",-0.685862179540169,7.65109321148905,10.9983071041342,0.0018759205122269,0.0403180782981836
"ENSMUSG00000059486","ENSMUSG00000059486","210973","Kbtbd2","kelch repeat and BTB (POZ) domain containing 2",-0.805967303502333,3.09359033137949,10.8475479318054,0.00187602486775222,0.0403180782981836
"ENSMUSG00000018697","ENSMUSG00000018697","56321","Aatf","apoptosis antagonizing transcription factor",-0.624399672194191,4.31224750155133,10.8113976964391,0.00190600787999449,0.0408728166825953
"ENSMUSG00000041654","ENSMUSG00000041654","69806","Slc39a11","solute carrier family 39 (metal ion transporter), member 11",-0.655894435676961,4.88129115256358,10.7946972450903,0.00192002920318786,0.0410835943040198
"ENSMUSG00000020267","ENSMUSG00000020267","15254","Hint1","histidine triad nucleotide binding protein 1",-0.327393570328556,8.4433617821382,10.7438896316572,0.00196335783385527,0.0419191868666267
"ENSMUSG00000042705","ENSMUSG00000042705","69456","Commd10","COMM domain containing 10",-1.02313842617918,2.94809481680643,10.733489616323,0.00197235319414399,0.0420196984839372
"ENSMUSG00000068877","ENSMUSG00000068877","20342","Selenbp2","selenium binding protein 2",0.884847225580464,7.15248602220708,11.0437861389165,0.00197933086198479,0.0420768816647526
"ENSMUSG00000022193","ENSMUSG00000022193","19173","Psmb5","proteasome (prosome, macropain) subunit, beta type 5",-0.446990234222664,6.97789648384766,10.7118121408791,0.00199124262686759,0.0421958369352812
"ENSMUSG00000039886","ENSMUSG00000039886","215210","Tmem120a","transmembrane protein 120A",-0.518141294613159,6.09319665255503,10.7091927280156,0.00199353801030972,0.0421958369352812
"ENSMUSG00000030884","ENSMUSG00000030884","67003","Uqcrc2","ubiquinol cytochrome c reductase core protein 2",-0.312679189213942,7.93201535381036,10.6735564731267,0.00202504424391787,0.0427703310137827
"ENSMUSG00000021981","ENSMUSG00000021981","69008","Cab39l","calcium binding protein 39-like",-0.38458211983381,5.21795299417442,10.6679352106337,0.00203006171873987,0.0427840964379585
"ENSMUSG00000033488","ENSMUSG00000033488","226527","Cryzl2","crystallin zeta like 2",-0.675850798184951,4.05320143261262,10.6628855886536,0.00203458011584595,0.0427873071572754
"ENSMUSG00000042506","ENSMUSG00000042506","216825","Usp22","ubiquitin specific peptidase 22",-0.59218397462063,5.19809353155229,10.6554911780762,0.00204121574503205,0.0427906732374826
"ENSMUSG00000031327","ENSMUSG00000031327","12212","Chic1","cysteine-rich hydrophobic domain 1",1.1552366608742,2.63739621130724,10.6529816122447,0.00204347296685121,0.0427906732374826
"ENSMUSG00000030340","ENSMUSG00000030340","20276","Scnn1a","sodium channel, nonvoltage-gated 1 alpha",1.02281049340857,3.32469027539423,10.6630660165716,0.00205874750521023,0.0430186045864825
"ENSMUSG00000030131","ENSMUSG00000030131","17837","Mug2","murinoglobulin 2",0.460762432481399,9.27575079552235,10.6280231718563,0.00206606535836422,0.043056816797859
"ENSMUSG00000025044","ENSMUSG00000025044","20288","Msr1","macrophage scavenger receptor 1",-0.867302844322835,3.21001335590554,10.6244038572509,0.00206936333793792,0.043056816797859
"ENSMUSG00000027746","ENSMUSG00000027746","67890","Ufm1","ubiquitin-fold modifier 1",-0.44925296954456,5.38942574767732,10.6026492816598,0.00208930363187127,0.0431984129408062
"ENSMUSG00000021576","ENSMUSG00000021576","18570","Pdcd6","programmed cell death 6",-0.637337076622257,6.16010456352049,10.6477077719155,0.0020909601542111,0.0431984129408062
"ENSMUSG00000024965","ENSMUSG00000024965","108101","Fermt3","fermitin family member 3",-0.95442256988497,2.91502743019593,10.6004117278852,0.00209136602475522,0.0431984129408062
"ENSMUSG00000045284","ENSMUSG00000045284","245404","Dcaf12l1","DDB1 and CUL4 associated factor 12-like 1",-0.863517567553184,2.95886558018201,10.5941099434401,0.00209718602127098,0.0431984129408062
"ENSMUSG00000025130","ENSMUSG00000025130","18453","P4hb","prolyl 4-hydroxylase, beta polypeptide",-0.396285566265729,9.38459247032878,10.5929976678987,0.00209821503016373,0.0431984129408062
"ENSMUSG00000028223","ENSMUSG00000028223","67460","Decr1","2,4-dienoyl CoA reductase 1, mitochondrial",-0.441066741484672,7.56193979878013,10.5882463693829,0.00210261662987393,0.0431984129408062
"ENSMUSG00000020225","ENSMUSG00000020225","68212","Tmbim4","transmembrane BAX inhibitor motif containing 4",-0.4650389706993,6.30070112264048,10.5728802051327,0.00211691853692338,0.0433273043361153
"ENSMUSG00000041124","ENSMUSG00000041124","78100","Msantd4","Myb/SANT-like DNA-binding domain containing 4 with coiled-coils",-0.60502151716689,4.34958333651004,10.5720089327877,0.00211773252826523,0.0433273043361153
"ENSMUSG00000031879","ENSMUSG00000031879","68523","Ciao2b","cytosolic iron-sulfur assembly component 2B",-0.632938845393005,3.79567075536994,10.5630375262495,0.00212613331584224,0.0434085551984458
"ENSMUSG00000031304","ENSMUSG00000031304","16186","Il2rg","interleukin 2 receptor, gamma chain",-1.38300442314301,2.17569548323141,10.5496157692905,0.00213876698584543,0.0434351741616348
"ENSMUSG00000070934","ENSMUSG00000070934","68441","Rraga","Ras-related GTP binding A",-0.694292099244569,5.32383035043103,10.5860126835892,0.00214385087319072,0.0434351741616348
"ENSMUSG00000026956","ENSMUSG00000026956","227620","Uap1l1","UDP-N-acteylglucosamine pyrophosphorylase 1-like 1",-1.71862179379014,3.30378481304394,10.8719008483207,0.00214597377368676,0.0434351741616348
"ENSMUSG00000028367","ENSMUSG00000028367","22166","Txn1","thioredoxin 1",-0.551441098098039,8.10500382749202,10.5485792753304,0.00214777966419841,0.0434351741616348
"ENSMUSG00000025153","ENSMUSG00000025153","14104","Fasn","fatty acid synthase",-1.00139104571451,8.17989199834479,10.9013181207073,0.00214959790493805,0.0434351741616348
"ENSMUSG00000032602","ENSMUSG00000032602","57279","Slc25a20","solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20",-0.356475926374326,6.97777816154056,10.5308901732771,0.00215652532956259,0.0434854901845954
"ENSMUSG00000035686","ENSMUSG00000035686","21835","Thrsp","thyroid hormone responsive",-1.20358620064977,7.4838047588243,10.8855068950742,0.0021963440413946,0.0441974776297066
"ENSMUSG00000029314","ENSMUSG00000029314","231510","Gpat3","glycerol-3-phosphate acyltransferase 3",-1.08500587490601,2.97106627436738,10.476389449936,0.00220910023968466,0.0443346213033138
"ENSMUSG00000036655","ENSMUSG00000036655","71693","Colec11","collectin sub-family member 11",-0.641214709884134,5.14869252591865,10.4732116354182,0.00221220712421637,0.0443346213033138
"ENSMUSG00000021670","ENSMUSG00000021670","15357","Hmgcr","3-hydroxy-3-methylglutaryl-Coenzyme A reductase",-1.05418461631816,5.01916257194658,10.7529778061352,0.0022259024020142,0.0444830593809954
"ENSMUSG00000020253","ENSMUSG00000020253","67905","Ppm1m","protein phosphatase 1M",-0.718003480501776,3.85007846264737,10.4544672507014,0.00223062701664873,0.0444830593809954
"ENSMUSG00000002332","ENSMUSG00000002332","52585","Dhrs1","dehydrogenase/reductase (SDR family) member 1",-0.38287374683796,7.82822866852602,10.4485732184301,0.00223645234697829,0.0444830593809954
"ENSMUSG00000024213","ENSMUSG00000024213","56409","Nudt3","nudix (nucleotide diphosphate linked moiety X)-type motif 3",-0.553899134740646,5.15350081869185,10.4472420337909,0.00223777023212558,0.0444830593809954
"ENSMUSG00000096188","ENSMUSG00000096188","97487","Cmtm4","CKLF-like MARVEL transmembrane domain containing 4",-0.606636859223804,4.71765764954426,10.428816222683,0.00225609622343281,0.044724271733083
"ENSMUSG00000030555","ENSMUSG00000030555","67009","Ttc23","tetratricopeptide repeat domain 23",-0.505666692347298,4.97416367271429,10.4258790203564,0.00225903209264042,0.044724271733083
"ENSMUSG00000039007","ENSMUSG00000039007","54381","Cpq","carboxypeptidase Q",-0.430289931832378,5.65719554906007,10.4197620326101,0.00226515923020272,0.0447551622096506
"ENSMUSG00000031443","ENSMUSG00000031443","14068","F7","coagulation factor VII",0.479465333304687,6.15284979154866,10.401688737174,0.0022833650071756,0.0450240987330399
"ENSMUSG00000028779","ENSMUSG00000028779","67898","Pef1","penta-EF hand domain containing 1",-0.498812835555062,5.26047114660761,10.3942241876933,0.00229092919543958,0.0450825424002167
"ENSMUSG00000040938","ENSMUSG00000040938","216867","Slc16a11","solute carrier family 16 (monocarboxylic acid transporters), member 11",-1.01086246110331,4.04097308784625,10.5214184588253,0.00230375203225085,0.0451707511620207
